epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,23814.1,0.3219,0.24506,0.81738,0.99218,0.99454,0.99242,0.95447,0.27136,0.18973,0.84306,0.000144726,0.000144726,0.000144726
84,24100,0.31561,0.24167,0.81749,0.99214,0.99385,0.99287,0.95445,0.2606,0.18952,0.84477,0.000137113,0.000137113,0.000137113
85,24386.7,0.31026,0.24195,0.81703,0.99376,0.99744,0.99456,0.9566,0.26386,0.19475,0.8425,0.0001295,0.0001295,0.0001295
86,24671.3,0.31504,0.24107,0.81782,0.99397,0.99713,0.99449,0.95712,0.254,0.18436,0.84281,0.000121887,0.000121887,0.000121887
87,24953.7,0.31091,0.23979,0.81503,0.99378,0.99666,0.99399,0.95502,0.26016,0.18478,0.84284,0.000114273,0.000114273,0.000114273
88,25240.5,0.31108,0.24071,0.81771,0.99152,0.99503,0.99299,0.95867,0.26068,0.18563,0.84249,0.00010666,0.00010666,0.00010666
89,25528,0.30938,0.23759,0.81915,0.99303,0.99222,0.99277,0.95632,0.26087,0.1864,0.84433,9.90472e-05,9.90472e-05,9.90472e-05
90,25815.3,0.30417,0.23697,0.81593,0.99191,0.99113,0.99301,0.95539,0.26291,0.18597,0.8416,9.14341e-05,9.14341e-05,9.14341e-05
91,26087.2,0.2768,0.22808,0.793,0.99468,0.99319,0.99362,0.95292,0.27095,0.2008,0.84326,8.3821e-05,8.3821e-05,8.3821e-05
92,26359.3,0.25188,0.21275,0.78779,0.99461,0.9961,0.99347,0.95108,0.26791,0.19152,0.84336,7.62079e-05,7.62079e-05,7.62079e-05
93,26628.2,0.2395,0.20297,0.7834,0.99542,0.99563,0.99398,0.95017,0.2659,0.18995,0.84059,6.85948e-05,6.85948e-05,6.85948e-05
94,26896.8,0.23862,0.20348,0.78435,0.99533,0.99681,0.99342,0.94663,0.274,0.18678,0.84343,6.09817e-05,6.09817e-05,6.09817e-05
95,27169.2,0.23595,0.20067,0.78338,0.99471,0.9974,0.99446,0.94848,0.27234,0.19224,0.84489,5.33686e-05,5.33686e-05,5.33686e-05
96,27441,0.23356,0.19925,0.78214,0.99465,0.99505,0.99438,0.94812,0.26539,0.19016,0.84524,4.57555e-05,4.57555e-05,4.57555e-05
97,27712.2,0.22708,0.19679,0.78139,0.99566,0.9941,0.99349,0.95149,0.26174,0.18572,0.8452,3.81424e-05,3.81424e-05,3.81424e-05
98,27983.4,0.2238,0.19361,0.78182,0.99585,0.99347,0.99352,0.95144,0.25872,0.18415,0.8452,3.05293e-05,3.05293e-05,3.05293e-05
99,28253.8,0.21945,0.19096,0.78046,0.99569,0.9928,0.99351,0.95223,0.26057,0.18337,0.84377,2.29162e-05,2.29162e-05,2.29162e-05
100,28522.8,0.22209,0.19271,0.77872,0.99592,0.99302,0.99353,0.95185,0.25809,0.18102,0.84273,1.53031e-05,1.53031e-05,1.53031e-05
